,rank_diff,prob
2,0.0,0.47619047619
5,1.0,0.415413533835
8,2.0,0.410780669145
11,3.0,0.414
14,4.0,0.425447316103
17,5.0,0.37786259542
20,6.0,0.427672955975
23,7.0,0.388535031847
26,8.0,0.430861723447
29,9.0,0.430703624733
32,10.0,0.444672131148
35,11.0,0.47963800905
38,12.0,0.426914153132
41,13.0,0.413276231263
44,14.0,0.450216450216
47,15.0,0.472350230415
50,16.0,0.529002320186
53,17.0,0.494145199063
56,18.0,0.47201946472
59,19.0,0.49156626506
62,20.0,0.498806682578
65,21.0,0.491725768322
68,22.0,0.489208633094
71,23.0,0.505025125628
74,24.0,0.535809018568
77,25.0,0.52417302799
80,26.0,0.508997429306
83,27.0,0.508064516129
86,28.0,0.517142857143
89,29.0,0.593167701863
92,30.0,0.542416452442
95,31.0,0.509138381201
98,32.0,0.545454545455
101,33.0,0.532110091743
104,34.0,0.588424437299
107,35.0,0.545731707317
110,36.0,0.534201954397
113,37.0,0.567647058824
116,38.0,0.518151815182
119,39.0,0.608552631579
122,40.0,0.554545454545
125,41.0,0.531034482759
128,42.0,0.603225806452
131,43.0,0.609929078014
134,44.0,0.542857142857
137,45.0,0.504032258065
140,46.0,0.56976744186
143,47.0,0.626086956522
146,48.0,0.60546875
149,49.0,0.650793650794
152,50.0,0.581818181818
155,51.0,0.582524271845
158,52.0,0.595833333333
161,53.0,0.585774058577
164,54.0,0.623711340206
167,55.0,0.57268722467
170,56.0,0.657276995305
173,57.0,0.595
176,58.0,0.677725118483
179,59.0,0.635071090047
182,60.0,0.586387434555
185,61.0,0.653631284916
188,62.0,0.632352941176
191,63.0,0.650887573964
194,64.0,0.690217391304
197,65.0,0.675257731959
200,66.0,0.661691542289
203,67.0,0.645161290323
206,68.0,0.67032967033
209,69.0,0.726618705036
212,70.0,0.62962962963
215,71.0,0.66081871345
218,72.0,0.671140939597
221,73.0,0.654088050314
224,74.0,0.743055555556
227,75.0,0.709219858156
230,76.0,0.726618705036
233,77.0,0.706349206349
236,78.0,0.669117647059
239,79.0,0.657142857143
242,80.0,0.719008264463
245,81.0,0.727272727273
248,82.0,0.733333333333
251,83.0,0.702702702703
254,84.0,0.718181818182
257,85.0,0.724637681159
260,86.0,0.694444444444
263,87.0,0.719626168224
266,88.0,0.738636363636
269,89.0,0.733944954128
272,90.0,0.731958762887
275,91.0,0.697674418605
278,92.0,0.727272727273
281,93.0,0.719101123596
284,94.0,0.712328767123
287,95.0,0.765957446809
290,96.0,0.818181818182
293,97.0,0.827956989247
296,98.0,0.701298701299
299,99.0,0.833333333333
302,100.0,0.660714285714
305,101.0,0.813559322034
308,102.0,0.720588235294
311,103.0,0.796610169492
314,104.0,0.701492537313
317,105.0,0.84126984127
320,106.0,0.785714285714
323,107.0,0.843137254902
326,108.0,0.741935483871
329,109.0,0.816666666667
332,110.0,0.782608695652
335,111.0,0.92
338,112.0,0.816666666667
341,113.0,0.859649122807
344,114.0,0.839285714286
347,115.0,0.775510204082
350,116.0,0.808510638298
353,117.0,0.727272727273
356,118.0,0.803571428571
359,119.0,0.744186046512
362,120.0,0.805555555556
365,121.0,0.853658536585
368,122.0,0.848484848485
371,123.0,0.933333333333
374,124.0,0.807692307692
377,125.0,0.814814814815
380,126.0,0.866666666667
383,127.0,0.84375
386,128.0,0.896551724138
389,129.0,0.892857142857
392,130.0,0.818181818182
395,131.0,0.888888888889
398,132.0,0.846153846154
401,133.0,0.884615384615
404,134.0,0.964285714286
407,135.0,0.864864864865
410,136.0,0.833333333333
413,137.0,0.846153846154
416,138.0,0.894736842105
419,139.0,0.9
422,140.0,0.882352941176
425,141.0,0.764705882353
428,142.0,1.0
431,143.0,1.0
434,144.0,1.0
437,145.0,0.882352941176
440,146.0,0.8
443,147.0,0.8
446,148.0,0.833333333333
449,149.0,1.0
452,150.0,0.916666666667
455,151.0,1.0
458,152.0,0.846153846154
461,153.0,0.9
464,154.0,0.75
467,155.0,0.916666666667
470,156.0,1.0
473,157.0,0.888888888889
476,158.0,1.0
479,159.0,1.0
482,160.0,0.777777777778
485,161.0,0.857142857143
488,162.0,1.0
491,163.0,0.75
494,164.0,1.0
497,165.0,0.833333333333
500,166.0,0.5
503,167.0,0.666666666667
506,168.0,0.571428571429
509,169.0,0.857142857143
512,170.0,1.0
515,171.0,1.0
518,172.0,0.833333333333
521,173.0,1.0
524,174.0,0.75
527,176.0,1.0
530,177.0,1.0
533,178.0,0.5
536,179.0,1.0
539,180.0,1.0
542,181.0,1.0
545,182.0,1.0
548,183.0,1.0
551,184.0,1.0
554,185.0,1.0
557,186.0,1.0
560,187.0,1.0
563,188.0,1.0
566,189.0,1.0
569,190.0,1.0
572,191.0,1.0
575,192.0,1.0
578,195.0,1.0
581,196.0,1.0
584,197.0,1.0
587,198.0,1.0
590,199.0,1.0
593,200.0,1.0
596,202.0,1.0
599,203.0,1.0
1,-0.0,0.285714285714
4,-1.0,0.362781954887
7,-2.0,0.338289962825
10,-3.0,0.338
13,-4.0,0.332007952286
16,-5.0,0.368320610687
19,-6.0,0.333333333333
22,-7.0,0.339702760085
25,-8.0,0.336673346693
28,-9.0,0.317697228145
31,-10.0,0.305327868852
34,-11.0,0.298642533937
37,-12.0,0.327146171694
40,-13.0,0.336188436831
43,-14.0,0.28354978355
46,-15.0,0.336405529954
49,-16.0,0.2343387471
52,-17.0,0.285714285714
55,-18.0,0.296836982968
58,-19.0,0.260240963855
61,-20.0,0.257756563246
64,-21.0,0.286052009456
67,-22.0,0.268585131894
70,-23.0,0.28391959799
73,-24.0,0.26525198939
76,-25.0,0.29262086514
79,-26.0,0.269922879177
82,-27.0,0.274193548387
85,-28.0,0.234285714286
88,-29.0,0.195652173913
91,-30.0,0.231362467866
94,-31.0,0.263707571802
97,-32.0,0.234604105572
100,-33.0,0.238532110092
103,-34.0,0.244372990354
106,-35.0,0.231707317073
109,-36.0,0.208469055375
112,-37.0,0.244117647059
115,-38.0,0.273927392739
118,-39.0,0.207236842105
121,-40.0,0.184848484848
124,-41.0,0.255172413793
127,-42.0,0.209677419355
130,-43.0,0.184397163121
133,-44.0,0.232142857143
136,-45.0,0.270161290323
139,-46.0,0.232558139535
142,-47.0,0.191304347826
145,-48.0,0.18359375
148,-49.0,0.174603174603
151,-50.0,0.229090909091
154,-51.0,0.199029126214
157,-52.0,0.158333333333
160,-53.0,0.200836820084
163,-54.0,0.170103092784
166,-55.0,0.189427312775
169,-56.0,0.150234741784
172,-57.0,0.2
175,-58.0,0.161137440758
178,-59.0,0.18009478673
181,-60.0,0.204188481675
184,-61.0,0.139664804469
187,-62.0,0.171568627451
190,-63.0,0.147928994083
193,-64.0,0.152173913043
196,-65.0,0.159793814433
199,-66.0,0.154228855721
202,-67.0,0.161290322581
205,-68.0,0.142857142857
208,-69.0,0.107913669065
211,-70.0,0.197530864198
214,-71.0,0.152046783626
217,-72.0,0.174496644295
220,-73.0,0.106918238994
223,-74.0,0.0972222222222
226,-75.0,0.141843971631
229,-76.0,0.115107913669
232,-77.0,0.111111111111
235,-78.0,0.125
238,-79.0,0.114285714286
241,-80.0,0.115702479339
244,-81.0,0.121212121212
247,-82.0,0.104761904762
250,-83.0,0.117117117117
253,-84.0,0.127272727273
256,-85.0,0.188405797101
259,-86.0,0.138888888889
262,-87.0,0.121495327103
265,-88.0,0.0681818181818
268,-89.0,0.119266055046
271,-90.0,0.134020618557
274,-91.0,0.139534883721
277,-92.0,0.103896103896
280,-93.0,0.0786516853933
283,-94.0,0.0958904109589
286,-95.0,0.117021276596
289,-96.0,0.0779220779221
292,-97.0,0.0537634408602
295,-98.0,0.155844155844
298,-99.0,0.025641025641
301,-100.0,0.178571428571
304,-101.0,0.101694915254
307,-102.0,0.161764705882
310,-103.0,0.0847457627119
313,-104.0,0.089552238806
316,-105.0,0.0952380952381
319,-106.0,0.157142857143
322,-107.0,0.078431372549
325,-108.0,0.112903225806
328,-109.0,0.0333333333333
331,-110.0,0.0869565217391
334,-111.0,0.0
337,-112.0,0.1
340,-113.0,0.0877192982456
343,-114.0,0.0892857142857
346,-115.0,0.0408163265306
349,-116.0,0.127659574468
352,-117.0,0.113636363636
355,-118.0,0.107142857143
358,-119.0,0.093023255814
361,-120.0,0.138888888889
364,-121.0,0.0731707317073
367,-122.0,0.0606060606061
370,-123.0,0.0333333333333
373,-124.0,0.0769230769231
376,-125.0,0.111111111111
379,-126.0,0.0333333333333
382,-127.0,0.0625
385,-128.0,0.0689655172414
388,-129.0,0.0
391,-130.0,0.0454545454545
394,-131.0,0.111111111111
397,-132.0,0.0769230769231
400,-133.0,0.0384615384615
403,-134.0,0.0
406,-135.0,0.0810810810811
409,-136.0,0.0833333333333
412,-137.0,0.115384615385
415,-138.0,0.0526315789474
418,-139.0,0.05
421,-140.0,0.117647058824
424,-141.0,0.117647058824
427,-142.0,0.0
430,-143.0,0.0
433,-144.0,0.0
436,-145.0,0.0588235294118
439,-146.0,0.0666666666667
442,-147.0,0.2
445,-148.0,0.111111111111
448,-149.0,0.0
451,-150.0,0.0833333333333
454,-151.0,0.0
457,-152.0,0.153846153846
460,-153.0,0.0
463,-154.0,0.0
466,-155.0,0.0
469,-156.0,0.0
472,-157.0,0.111111111111
475,-158.0,0.0
478,-159.0,0.0
481,-160.0,0.222222222222
484,-161.0,0.142857142857
487,-162.0,0.0
490,-163.0,0.25
493,-164.0,0.0
496,-165.0,0.166666666667
499,-166.0,0.25
502,-167.0,0.0
505,-168.0,0.142857142857
508,-169.0,0.142857142857
511,-170.0,0.0
514,-171.0,0.0
517,-172.0,0.166666666667
520,-173.0,0.0
523,-174.0,0.25
526,-176.0,0.0
529,-177.0,0.0
532,-178.0,0.0
535,-179.0,0.0
538,-180.0,0.0
541,-181.0,0.0
544,-182.0,0.0
547,-183.0,0.0
550,-184.0,0.0
553,-185.0,0.0
556,-186.0,0.0
559,-187.0,0.0
562,-188.0,0.0
565,-189.0,0.0
568,-190.0,0.0
571,-191.0,0.0
574,-192.0,0.0
577,-195.0,0.0
580,-196.0,0.0
583,-197.0,0.0
586,-198.0,0.0
589,-199.0,0.0
592,-200.0,0.0
595,-202.0,0.0
598,-203.0,0.0
